ID,dataset,strain,Temperature,Medium,Area_day4-day0,Grayness_day4-day0
6141_37_poor_d4_01,6141_37_Poor,6141,37,Poor,22.5125813,0.313505825
6141_37_poor_d4_02,6141_37_Poor,6141,37,Poor,20.34542912,0.371751361
6141_37_poor_d4_03,6141_37_Poor,6141,37,Poor,18.64334456,0.347618453
6141_37_poor_d4_04,6141_37_Poor,6141,37,Poor,17.90871839,0.372083688
6141_37_poor_d4_05,6141_37_Poor,6141,37,Poor,17.00763893,0.362990903
6141_37_rich_d4_01,6141_37_Rich,6141,37,Rich,52.14344778,0.956303834
6141_37_rich_d4_02,6141_37_Rich,6141,37,Rich,54.69893052,0.908452109
6141_37_rich_d4_03,6141_37_Rich,6141,37,Rich,54.15685862,0.933993912
6141_37_rich_d4_04,6141_37_Rich,6141,37,Rich,54.07877079,0.825973918
6141_37_rich_d4_05,6141_37_Rich,6141,37,Rich,54.76219544,0.85793847
6141_rt_poor_d4_01,6141_RT_Poor,6141,RT,Poor,18.92867401,0.268630327
6141_rt_poor_d4_02,6141_RT_Poor,6141,RT,Poor,16.45631852,0.387596576
6141_rt_poor_d4_03,6141_RT_Poor,6141,RT,Poor,15.50345285,0.270586722
6141_rt_poor_d4_04,6141_RT_Poor,6141,RT,Poor,16.26259686,0.438121032
6141_rt_poor_d4_05,6141_RT_Poor,6141,RT,Poor,15.74709809,0.284617504
6141_rt_rich_d4_01,6141_RT_Rich,6141,RT,Rich,34.73723803,0.939769928
6141_rt_rich_d4_02,6141_RT_Rich,6141,RT,Rich,36.68339039,0.948845748
6141_rt_rich_d4_03,6141_RT_Rich,6141,RT,Rich,36.64361795,0.810634425
6141_rt_rich_d4_04,6141_RT_Rich,6141,RT,Rich,33.84022644,0.956530449
6141_rt_rich_d4_05,6141_RT_Rich,6141,RT,Rich,35.36723505,0.823496378
6170_37_poor_d4_01,6170_37_Poor,6170,37,Poor,12.25432964,0.526164095
6170_37_poor_d4_02,6170_37_Poor,6170,37,Poor,11.25781333,0.506538745
6170_37_poor_d4_03,6170_37_Poor,6170,37,Poor,10.88331919,0.481484025
6170_37_poor_d4_04,6170_37_Poor,6170,37,Poor,11.97296309,0.461174866
6170_37_poor_d4_05,6170_37_Poor,6170,37,Poor,11.87698583,0.376556817
6170_37_rich_d4_01,6170_37_Rich,6170,37,Rich,25.22974222,0.912381029
6170_37_rich_d4_02,6170_37_Rich,6170,37,Rich,23.33687937,0.807709438
6170_37_rich_d4_03,6170_37_Rich,6170,37,Rich,23.10121569,0.854802195
6170_37_rich_d4_04,6170_37_Rich,6170,37,Rich,22.38085718,0.863627088
6170_37_rich_d4_05,6170_37_Rich,6170,37,Rich,26.0480026,0.896049699
6170_rt_poor_d4_01,6170_RT_Poor,6170,RT,Poor,16.18506708,0.303437424
6170_rt_poor_d4_02,6170_RT_Poor,6170,RT,Poor,14.37433895,0.350027798
6170_rt_poor_d4_03,6170_RT_Poor,6170,RT,Poor,14.19267238,0.332976986
6170_rt_poor_d4_04,6170_RT_Poor,6170,RT,Poor,15.84184391,0.337569387
6170_rt_poor_d4_05,6170_RT_Poor,6170,RT,Poor,12.24888296,0.250743318
6170_rt_rich_d4_01,6170_RT_Rich,6170,RT,Rich,18.41425276,0.614884785
6170_rt_rich_d4_02,6170_RT_Rich,6170,RT,Rich,19.35109263,0.665994497
6170_rt_rich_d4_03,6170_RT_Rich,6170,RT,Rich,18.78582764,0.660794445
6170_rt_rich_d4_04,6170_RT_Rich,6170,RT,Rich,21.56136797,0.63768155
6170_rt_rich_d4_05,6170_RT_Rich,6170,RT,Rich,22.42670398,0.681806431
6170_rt_rich_d4_06,6170_RT_Rich,6170,RT,Rich,24.37874346,0.775571244
8125_37_poor_d4_01,8125_37_Poor,8125,37,Poor,12.16049727,0.381130904
8125_37_poor_d4_02,8125_37_Poor,8125,37,Poor,7.626988236,0.304679775
8125_37_poor_d4_03,8125_37_Poor,8125,37,Poor,7.307920453,0.31056096
8125_37_poor_d4_04,8125_37_Poor,8125,37,Poor,7.424392223,0.237454072
8125_37_poor_d4_05,8125_37_Poor,8125,37,Poor,5.813224891,0.318141588
8125_37_rich_d4_01,8125_37_Rich,8125,37,Rich,21.13197638,0.897955567
8125_37_rich_d4_02,8125_37_Rich,8125,37,Rich,23.33915728,0.974835598
8125_37_rich_d4_03,8125_37_Rich,8125,37,Rich,27.11500995,0.921685057
8125_37_rich_d4_04,8125_37_Rich,8125,37,Rich,19.45889494,0.957924524
8125_37_rich_d4_05,8125_37_Rich,8125,37,Rich,11.69545751,0.897284392
8125_37_rich_d4_06,8125_37_Rich,8125,37,Rich,13.78229634,0.844898293
8125_rt_poor_d4_01,8125_RT_Poor,8125,RT,Poor,8.965838684,0.213650103
8125_rt_poor_d4_02,8125_RT_Poor,8125,RT,Poor,11.58693627,0.218739332
8125_rt_poor_d4_03,8125_RT_Poor,8125,RT,Poor,9.720235515,0.168471145
8125_rt_poor_d4_04,8125_RT_Poor,8125,RT,Poor,12.42494147,0.260006416
