,Area_day4.day0,Grayness_day4.day0,strain_FC6141,strain_FC8125,strain_FC8152,strain_FC8172,strain_FC8191,strain_FC8192,strain_IFM65656,Temperature_37,Temperature_RT,Medium_high,Medium_low
6141_37_poor_d4_01,22.5125813,0.313505825,1,0,0,0,0,0,0,1,0,0,1
6141_37_poor_d4_02,20.34542912,0.371751361,1,0,0,0,0,0,0,1,0,0,1
6141_37_poor_d4_03,18.64334456,0.347618453,1,0,0,0,0,0,0,1,0,0,1
6141_37_poor_d4_04,17.90871839,0.372083688,1,0,0,0,0,0,0,1,0,0,1
6141_37_poor_d4_05,17.00763893,0.362990903,1,0,0,0,0,0,0,1,0,0,1
6141_37_rich_d4_01,52.14344778,0.956303834,1,0,0,0,0,0,0,1,0,1,0
6141_37_rich_d4_02,54.69893052,0.908452109,1,0,0,0,0,0,0,1,0,1,0
6141_37_rich_d4_03,54.15685862,0.933993912,1,0,0,0,0,0,0,1,0,1,0
6141_37_rich_d4_04,54.07877079,0.825973918,1,0,0,0,0,0,0,1,0,1,0
6141_37_rich_d4_05,54.76219544,0.85793847,1,0,0,0,0,0,0,1,0,1,0
6141_rt_poor_d4_01,18.92867401,0.268630327,1,0,0,0,0,0,0,0,1,0,1
6141_rt_poor_d4_02,16.45631852,0.387596576,1,0,0,0,0,0,0,0,1,0,1
6141_rt_poor_d4_03,15.50345285,0.270586722,1,0,0,0,0,0,0,0,1,0,1
6141_rt_poor_d4_04,16.26259686,0.438121032,1,0,0,0,0,0,0,0,1,0,1
6141_rt_poor_d4_05,15.74709809,0.284617504,1,0,0,0,0,0,0,0,1,0,1
6141_rt_rich_d4_01,34.73723803,0.939769928,1,0,0,0,0,0,0,0,1,1,0
6141_rt_rich_d4_02,36.68339039,0.948845748,1,0,0,0,0,0,0,0,1,1,0
6141_rt_rich_d4_03,36.64361795,0.810634425,1,0,0,0,0,0,0,0,1,1,0
6141_rt_rich_d4_04,33.84022644,0.956530449,1,0,0,0,0,0,0,0,1,1,0
6141_rt_rich_d4_05,35.36723505,0.823496378,1,0,0,0,0,0,0,0,1,1,0
6170_37_poor_d4_01,12.25432964,0.526164095,0,0,0,0,0,0,1,1,0,0,1
6170_37_poor_d4_02,11.25781333,0.506538745,0,0,0,0,0,0,1,1,0,0,1
6170_37_poor_d4_03,10.88331919,0.481484025,0,0,0,0,0,0,1,1,0,0,1
6170_37_poor_d4_04,11.97296309,0.461174866,0,0,0,0,0,0,1,1,0,0,1
6170_37_poor_d4_05,11.87698583,0.376556817,0,0,0,0,0,0,1,1,0,0,1
6170_37_rich_d4_01,25.22974222,0.912381029,0,0,0,0,0,0,1,1,0,1,0
6170_37_rich_d4_02,23.33687937,0.807709438,0,0,0,0,0,0,1,1,0,1,0
6170_37_rich_d4_03,23.10121569,0.854802195,0,0,0,0,0,0,1,1,0,1,0
6170_37_rich_d4_04,22.38085718,0.863627088,0,0,0,0,0,0,1,1,0,1,0
6170_37_rich_d4_05,26.0480026,0.896049699,0,0,0,0,0,0,1,1,0,1,0
6170_rt_poor_d4_01,16.18506708,0.303437424,0,0,0,0,0,0,1,0,1,0,1
6170_rt_poor_d4_02,14.37433895,0.350027798,0,0,0,0,0,0,1,0,1,0,1
6170_rt_poor_d4_03,14.19267238,0.332976986,0,0,0,0,0,0,1,0,1,0,1
6170_rt_poor_d4_04,15.84184391,0.337569387,0,0,0,0,0,0,1,0,1,0,1
6170_rt_poor_d4_05,12.24888296,0.250743318,0,0,0,0,0,0,1,0,1,0,1
6170_rt_rich_d4_01,18.41425276,0.614884785,0,0,0,0,0,0,1,0,1,1,0
6170_rt_rich_d4_02,19.35109263,0.665994497,0,0,0,0,0,0,1,0,1,1,0
6170_rt_rich_d4_03,18.78582764,0.660794445,0,0,0,0,0,0,1,0,1,1,0
6170_rt_rich_d4_04,21.56136797,0.63768155,0,0,0,0,0,0,1,0,1,1,0
6170_rt_rich_d4_05,22.42670398,0.681806431,0,0,0,0,0,0,1,0,1,1,0
6170_rt_rich_d4_06,24.37874346,0.775571244,0,0,0,0,0,0,1,0,1,1,0
8125_37_poor_d4_01,12.16049727,0.381130904,0,1,0,0,0,0,0,1,0,0,1
8125_37_poor_d4_02,7.626988236,0.304679775,0,1,0,0,0,0,0,1,0,0,1
8125_37_poor_d4_03,7.307920453,0.31056096,0,1,0,0,0,0,0,1,0,0,1
8125_37_poor_d4_04,7.424392223,0.237454072,0,1,0,0,0,0,0,1,0,0,1
8125_37_poor_d4_05,5.813224891,0.318141588,0,1,0,0,0,0,0,1,0,0,1
8125_37_rich_d4_01,21.13197638,0.897955567,0,1,0,0,0,0,0,1,0,1,0
8125_37_rich_d4_02,23.33915728,0.974835598,0,1,0,0,0,0,0,1,0,1,0
8125_37_rich_d4_03,27.11500995,0.921685057,0,1,0,0,0,0,0,1,0,1,0
8125_37_rich_d4_04,19.45889494,0.957924524,0,1,0,0,0,0,0,1,0,1,0
8125_37_rich_d4_05,11.69545751,0.897284392,0,1,0,0,0,0,0,1,0,1,0
8125_37_rich_d4_06,13.78229634,0.844898293,0,1,0,0,0,0,0,1,0,1,0
8125_rt_poor_d4_01,8.965838684,0.213650103,0,1,0,0,0,0,0,0,1,0,1
